真实排名,原参谋排名,商品ID,商品标题,所属店铺,支付金额(元),支付件数,支付买家数,客单价,主图透出价格,核心卖点标签,营销文案标签,主图排版视觉风格,1.8米直达规格链接,商品详情标准链接,高清主图原图地址,对应本地主图文件名,主图完整OCR识别文案
62,64,858779275867,悠梦思乳胶床垫独立弹簧席梦思加厚软硬适中家用护脊黄麻酒店定制,yarges悠梦思旗舰店,2160.0,2,2,"1,080.00",未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 抗菌防螨健康,平台/政府大额补贴 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=858779275867&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=858779275867,https://img.alicdn.com/bao/uploaded/i4/2215907225135/O1CN01MgJdqv5DdYL2vH2e_!!4611686018427383343-0-item_pic.jpg,858779275867.jpg,YARGES悠梦思 科学支撑 撑腰护脊 进口黄麻 抑菌防螨 YARGES 悠梦思 88 活动下单即享 折 88消费券 （立即抢购无需凑单） 限时立享至高减150元 88VIP可用 数量有限详情咨询客服 天猫家装节 抢 政府补贴15% 因地区差异，补贴信息详情请见支付页面！ 官方立减12% 下单入会“抢 舒睡枕x2 现货下单顺丰速发 质保20年 限部分 尺寸地区 免费送货到家 分期免息 盒365天免费仓储
63,65,1078382595239,麻师傅全拆S形黄麻床垫叠加软床加硬神器专用儿童老人护腰脊椰棕,麻师傅诺隆专卖店,2100.0,2,2,"1,050.00",未透出,护脊偏硬支撑 | 环保椰棕/黄麻,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=1078382595239&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1078382595239,https://img.alicdn.com/bao/uploaded/i1/2221163466073/O1CN010OeMjZwTUtD1chua_!!4611686018427383129-0-item_pic.jpg,1078382595239.jpg,麻师傅 ? 软垫加硬神器 3-5cm硬黄麻床垫 政府补贴 15% + 家装节 12% 48小时 青年/老人/孕婴童 顺丰发货
64,66,898868296824,凯菲露黄麻乳胶独立袋弹簧薄款床垫加硬榻榻米卧室10cm厚国家补贴,凯菲露家具旗舰店,2085.0,2,2,"1,042.50",未透出,护脊偏硬支撑 | 天然乳胶 | 独立袋装弹簧 | 环保椰棕/黄麻 | 智能调节深睡,平台/政府大额补贴 | 免费试睡保障 | 免费送装一体 | 买赠高价值赠品,促销大字报冲击型,https://detail.tmall.com/item.htm?id=898868296824&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=898868296824,https://img.alicdn.com/bao/uploaded/i2/2218234661637/O1CN01XKWvsmS8YlC1chua_!!4611686018427382533-0-item_pic.jpg,898868296824.jpg,PKAIFEL 秋季家装节 10/12/13/15CM 薄弹簧床垫 店铺红包 轻薄护脊！云栖系列 限时抢 送 X2 下单到手 评价有礼返20红包 （顺丰速发送货上楼（限部分地区/尺寸） 至高立减 政府补贴 9折消费券 全店立减 48% 立减15% 12% 下拉详情领取 88VIP可用 优惠可叠加 10G 免费 加 黄麻护脊·静音抗扰·灵动贴合 试睡
65,67,1007130832612,铂马仕云霄全拆洗可调节弹簧床垫席梦思乳胶软垫家用椰棕加硬床垫,铂马仕旗舰店,2078.6,1,1,"2,078.60",￥500,天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=1007130832612&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1007130832612,https://img.alicdn.com/bao/uploaded/i4/2165873208/O1CN013CaqZcaaFlI2vH2e_!!4611686018427386424-0-item_pic.jpg,1007130832612.jpg,铂马仕 家装节 POMOSER O胶全拆洗软硬可调 20-30CM 多种睡感体验 惊喜红包 88折消费券 不止9折至高减500元 88VIP可用 POMOSER 双重补贴拍下立减！ 政府补贴 官方补贴 立减15% 立减12% 详见支付页面 可叠加店铺券 送 单品直降约 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 尺寸地区 37% 下单入会享好礼 ￥20 会员专享券 门槛 POMOSER
66,69,941363571679,ROZO国家补贴全拆黄芽护脊床垫席梦思无胶独立弹簧黄麻乳胶硬家用,rozo家具旗舰店,1922.0,1,1,"1,922.00",未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 热销爆款背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=941363571679&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=941363571679,https://img.alicdn.com/bao/uploaded/i3/2939975400/O1CN01DGqJgNNo3VB2vH2e_!!4611686018427385576-2-item_pic.png,941363571679.jpg,ROZO° 秋季家装节 X 零胶水 （店铺内） TOP1 同款性价比 升级黄麻|全拆可调 实付满1500立减 150 夫 88VIP消费券 实付满480立减 60 夫 88VIP消费券 政府补贴 至高立减约 下单立减 12% 15% 45 5% 限时优惠券56 ROZO 咨询客服
67,70,1016981719311,铂马仕云岚全拆弹簧床垫乳胶席梦思1.8m米软家用护脊硬垫黄麻床垫,铂马仕旗舰店,1880.0,1,1,"1,880.00",￥500,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=1016981719311&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1016981719311,https://img.alicdn.com/bao/uploaded/i3/2165873208/O1CN01fGm2RoPuNLC2vH2e_!!4611686018427386424-0-item_pic.jpg,1016981719311.jpg,铂马仕 家装节 POMOSER 0甲醛0胶水全拆床垫 舒适护脊安全环保 惊喜红包 88折消费券 不止9折至高减500元 88VIP可用 POMOSER 叠加 政府补贴 官方补贴 立减15% 立减12% 优惠 详见支付页面 可叠加店铺券 送 单品直降约 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 尺寸地区 37% 下单入会享好礼 ￥20 会员专享券 门槛 POMOSER
68,71,1018101560481,甜蜜睡眠可拆卸床垫软硬可调无胶席梦思乳胶独立弹簧全拆卧室家用,甜蜜睡眠旗舰店,1863.18,1,1,"1,863.18",￥1293,天然乳胶 | 亲肤透气面料,平台/政府大额补贴 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=1018101560481&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1018101560481,https://img.alicdn.com/bao/uploaded/i3/2215897735682/O1CN017rYO2ZmHhnL2R3rs_!!4611686018427380226-0-item_pic.jpg,1018101560481.jpg,甜蜜睡眠「朗月系列 家装节 Tianmishuimian 全垫0胶可拆卸 舒适透气软硬轻松调节） 政府补贴！ 9折券 立减 15% 无门槛消费券（至高减150） 88VIP专享 甜蜜睡眠 Zzz sweetsleepmattress 2件再享折上折，买越多省越多！ 综合补贴到手价： 政府 官方 店铺 至高省 1293 42% ? + + 补贴 立减 优惠 起 全国送货入户 赠大件运费险 花呗分期免息 365天免费囤货
69,72,653309172278,适用于宜家米隆床垫儿童分段式可伸缩婴儿拼接床可拆卸棕垫80x200,棕葆王国品牌店,1782.0,2,1,"1,782.00",未透出,环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期,促销大字报冲击型,https://detail.tmall.com/item.htm?id=653309172278&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=653309172278,https://img.alicdn.com/bao/uploaded/i3/251231227/O1CN01zZXrIYPI4WG2vH2e_!!251231227.jpg,653309172278.jpg,超级立减 棕葆王国 米隆儿童专用 不环保100%退款 S型环保精细黄麻孩子用更合适 立减 活动优惠 8-12cm厚三块拼接款 10% 免费试睡 保 20年不塌陷 花呗3期免息 顺丰送货入户
70,73,1002508687323,睡眠骑士名匠全拆可调节床垫席梦思无胶家用20cm硬垫天然乳胶黄麻,睡眠骑士床垫企业店,1723.16,1,1,"1,723.16",未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?id=1002508687323&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1002508687323,https://img.alicdn.com/bao/uploaded/i3/720743073/O1CN016QipDW1YZUESrNc0S_!!720743073.jpg,1002508687323.jpg,SLEEP. 睡眠骑士 官方优选 KNIGHT 可拆0胶水床垫 30s轻松拆卸 四叶草 弹簧 天然S型 黄麻 20-25CM 现货速发顺丰送到家 SF 0胶全拆 部分尺寸及地区详情咨询客服 200天免费试睡 花呗分期免息 365天免费仓储 免费送货到家
71,74,639084200572,月光之家儿童床垫硬家用独立弹簧青少年学生黄麻席梦思1.8米1.5m,moonlightfamily旗舰店,1657.0,1,1,"1,657.00",未透出,环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=639084200572&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=639084200572,https://img.alicdn.com/bao/uploaded/i1/919851856/O1CN01B7Bm2MLg8vI32pKq_!!4611686018427384656-0-item_pic.jpg,639084200572.jpg,Moonlight family MOONLICHT 月光之家 家装节 FAMILY 儿童专用弹簧床垫 软硬齐全厚度20-22CM SMondafufonada 优惠可叠加 政府补贴官方立减惊喜红包 88VIP 200天免费试睡 15% 12% 150 20年超长质保 3期免息 价保100天 免费取旧 顺丰 SF 0胶+5A双重认证 到家
72,75,648731865254,儿童床垫椰棕垫席梦思护脊偏硬1.2无甲醛棕垫1.35m天然乳胶席梦思,佛山享睡床垫品牌店,1643.0,1,1,"1,643.00",未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=648731865254&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=648731865254,https://img.alicdn.com/bao/uploaded/i1/371421979/O1CN01Kib6i6KO3qH2vH2e_!!371421979.jpg,648731865254.jpg,WEIMLU 超级88 一维梦露一 婴幼级专用 护脊黄麻棕 A类面料可全拆 免费试睡101天 下单立减 京东顺丰送到家 TIME:9/620:00-9/1323:59 12% 可叠加优惠满300减60 （详情咨询客服即可） 免费送货到家 先用后付 180天免费仓储 超长保价30天
73,76,650559391013,派乐熊儿童专用床垫加密独立袋弹簧青少年偏硬护脊席梦思学生家用,派乐熊儿童床垫品牌店,1423.0,1,1,"1,423.00",未透出,护脊偏硬支撑 | 独立袋装弹簧,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=650559391013&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=650559391013,https://img.alicdn.com/bao/uploaded/i3/371424161/O1CN01WfF48jHd3qI1chua_!!371424161.jpg,650559391013.jpg,派乐熊×专注儿童健康睡眠 2160颗专利儿童小弹簧 15% 政府补贴 因地区差异，补贴(优惠)信息详见支付页面 家装节 88VIP消费券 立减12% 88VIP专享 儿童 A类亚麻纤维面料 专用 静音护脊独立袋弹簧
74,77,753435672675,铂马仕护脊弹簧床垫黄麻席梦思乳胶软垫家用1.5米 1.8m椰棕硬垫,铂马仕旗舰店,1379.0,1,1,"1,379.00",￥500,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=753435672675&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=753435672675,https://img.alicdn.com/bao/uploaded/i3/2165873208/O1CN01FzUv9ZbMIIB2vH2e_!!4611686018427386424-0-item_pic.jpg,753435672675.jpg,铂马仕 家装节 POMOSER 强效护脊弹簧 POMOSER POMOSER 双重补贴拍下立减！ 惊喜红包限时抢！ 政府补贴 官方补贴 惊喜红包 88折消费券 立减15% 立减12% 不止9折至高减500元 详见支付页面 可叠加店铺券 88VIP可用 送 单品直降约 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 尺寸地区 37% 下单入会享好礼 ￥20 会员专享券 门槛 POMOSER
75,78,708089540708,月光之家5cm乳胶床垫超薄家庭用五星级酒店席梦思独立弹簧偏软1.8,moonlightfamily旗舰店,1367.24,1,1,"1,367.24",未透出,天然乳胶,平台/政府大额补贴 | 免费试睡保障 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=708089540708&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=708089540708,https://img.alicdn.com/bao/uploaded/i4/919851856/O1CN01gkiwXdXkMkG32pKq_!!4611686018427384656-0-item_pic.jpg,708089540708.jpg,Moonlight family MOONLICHT 月光之家 家装节 FAMILY 超薄五星级酒店睡感 适中偏软厚度12-20CM 优惠可叠加 政府补贴官方立减惊喜红包 88VIP 200天免费试睡 15% 12% 150 20年超长质保 3期免息 价保100天 免费取旧 顺丰 SF 0胶+5A双重认证 到家
76,79,626431216907,月光之家儿童床垫天然黄麻棕垫榻榻米硬1.5米青少年学生专用1.2m,moonlightfamily旗舰店,1199.0,1,1,"1,199.00",未透出,护脊偏硬支撑 | 环保椰棕/黄麻 | 双面双睡感/可拆洗,平台/政府大额补贴 | 免费试睡保障 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=626431216907&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=626431216907,https://img.alicdn.com/bao/uploaded/i3/919851856/O1CN01wej91tS9yxJ32pKq_!!4611686018427384656-0-item_pic.jpg,626431216907.jpg,Moonlight family MOONLICHT 月光之家 家装节 FAMILY 儿童护脊黄麻床垫 软硬双面厚度6-18CM 优惠可叠加 政府补贴官方立减惊喜红包 88VIP 200天免费试睡 15% 12% 150 20年超长质保 3期免息 价保100天 免费取旧 顺丰 SF 0胶+5A双重认证 到家
77,80,943732529605,ROZO黄豆加硬全拆床垫S型天然黄麻乳胶榻榻米矮床儿童偏硬护脊,rozo家具旗舰店,1173.3,2,2,586.65,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=943732529605&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=943732529605,https://img.alicdn.com/bao/uploaded/i1/2939975400/O1CN01dMq86L4ZskH2vH2e_!!4611686018427385576-2-item_pic.png,943732529605.jpg,ROZO 秋季家装节 X 全拆零胶水 黄麻薄垫 腰酸终结者 护脊强支撑|全拆可调 15 实付满1500立减 150 88VIP消费券 实付满480立减 60 88VIP消费券 政府补贴 至高立减约 12% 下单立减 15% 45 % 限时优惠券107 ROZO 咨询客服
78,81,942607064286,麻师傅S型黄麻床垫折叠学生榻榻米10cm15椰棕含乳胶老人加硬护腰,麻师傅家具旗舰店,1171.8,2,1,"1,171.80",未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=942607064286&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=942607064286,https://img.alicdn.com/bao/uploaded/i1/2217706005293/O1CN01ZBmN9x8YE9E1chua_!!4611686018427380525-0-item_pic.jpg,942607064286.jpg,麻师傅 ? 6-15cm黄麻床垫 折叠款翻取方便 政府补贴 15% 家装节 12% 72小时 榻榻米/上下铺/储物床 顺丰发货
79,82,735558795052,悠梦思华夫格独立袋弹簧床垫1.8m压缩乳胶席梦思20cm厚五星酒店,yarges悠梦思旗舰店,1155.0,1,1,"1,155.00",未透出,天然乳胶 | 独立袋装弹簧,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=735558795052&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=735558795052,https://img.alicdn.com/bao/uploaded/i2/2215907225135/O1CN01w6KXxK0sTLI2vH2e_!!4611686018427383343-0-item_pic.jpg,735558795052.jpg,YARGES悠梦思 压缩卷包盒子床垫 101天真正免费试睡 88 活动下单即享 折 88消费券 YAGES （立即抢购无需凑单） GES 限时立享至高减150元 梦思 88VIP可用 数量有限详情咨询客服 天猫家装节 抢 政府补贴15% 因地区差异，补贴信息详情请见支付页面！ 官方立减12% 下单入会“抢 99 舒睡枕x2 现货下单顺丰速发 质保20年 限部分 尺寸地区 免费送货到家 分期免息 1365天免费仓储
80,83,773925664034,薄款独立袋10cm矮弹簧记忆棉席梦思黄麻偏硬护脊薄床垫家用可拆洗,CEFALU旗舰店,1154.0,1,1,"1,154.00",未透出,护脊偏硬支撑 | 独立袋装弹簧 | 环保椰棕/黄麻 | 零压记忆棉 | 双面双睡感/可拆洗 | 亲肤透气面料,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品,促销大字报冲击型,https://detail.tmall.com/item.htm?id=773925664034&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=773925664034,https://img.alicdn.com/bao/uploaded/i2/1692273605/O1CN015qkDip7OQ3L2vH2e_!!4611686018427382725-0-item_pic.jpg,773925664034.jpg,® 超级立减 甄选 CEFALU 尖货 10-14cm薄款弹簧床垫 软硬有度睡感可选 15 再省% 可叠加店内任何优惠活动 政府补贴 快递包邮 免费试睡200天 享政府补贴 预计下单直降 25% 优惠直降10%叠加使用 （环保透气软硬可选拒绝甲醛送货上门） 详情咨询客服
81,84,984636395043,铂马仕薄乳胶床垫独立弹簧软垫记忆棉席梦思椰棕硬垫家用双人1.8m,铂马仕旗舰店,1145.0,1,1,"1,145.00",￥500,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 零压记忆棉,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=984636395043&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=984636395043,https://img.alicdn.com/bao/uploaded/i1/2165873208/O1CN01ByTxTgzBo1E2vH2e_!!4611686018427386424-0-item_pic.jpg,984636395043.jpg,铂马仕 家装节 POMOSER 120天免费试睡 11-14CM强支撑薄款弹簧床垫 惊喜红包 88折消费券 不止9折至高减500元 88VIP可用 双重补贴拍下立减！ POMOSER POMOSER 政府补贴 官方补贴 立减15% 立减12% 详见支付页面 可叠加店铺券 送 单品直降约 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 尺寸地区 37% 下单入会享好礼 ￥20 会员专享券 门槛 POMOSER
82,85,987240660508,铂马仕薄款乳胶弹簧床垫席梦思独立软垫记忆棉床垫家用双人19cm,铂马仕旗舰店,1118.0,1,1,"1,118.00",￥500,天然乳胶 | 零压记忆棉,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=987240660508&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=987240660508,https://img.alicdn.com/bao/uploaded/i3/2165873208/O1CN01HJ96ZBs0rsH2vH2e_!!4611686018427386424-0-item_pic.jpg,987240660508.jpg,铂马仕 家装节 POMOSER 1886颗专利迷你弹簧 mUSE 荣获美国缪斯MUSE设计金奖 DESICN AWARDS POMOSER POMOSER 双重补贴拍下立减！ 惊喜红包限时抢！ 政府补贴 官方补贴 惊喜红包 88折消费券 立减15% 立减12% 不止9折至高减500元 详见支付页面 可叠加店铺券 88VIP可用 送 单品直降约 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 尺寸地区 37% 120天真正免费试睡
83,86,1056213868269,品味布帆家用席梦思软垫记忆棉乳胶独立袋弹簧厚床垫双人酒店可选,品味布帆家居旗舰店,1034.59,1,1,"1,034.59",未透出,天然乳胶 | 独立袋装弹簧 | 零压记忆棉,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=1056213868269&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1056213868269,https://img.alicdn.com/bao/uploaded/i4/2222488681261/O1CN01UrLnkvkop6J21stE_!!4611686018427386669-0-item_pic.jpg,1056213868269.jpg,品味布帆 ? 家装节 星级睡眠专享 偏软舒适·静音入眠 品味布机 双重补贴-下单立减 政府补贴 官方补贴 立减15% 立减12% 详情咨询客服 详情咨询客服 到手价 120天免费试睡 88VIP专享消费券 869 20年超长质保 拒绝甲醛 塌陷包赔 100天保价 ￥ 3期花呗免息 免费仓储 送货入户无需安装 1.8×2米舒睡A款
84,87,40585578946,铂马仕天然椰棕床垫乳胶硬棕垫席梦思护脊1.5m1.8米折叠定做,铂马仕旗舰店,983.04,1,1,983.04,￥500,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型 | 产品材质分层结构拆解型,https://detail.tmall.com/item.htm?id=40585578946&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=40585578946,https://img.alicdn.com/bao/uploaded/i3/2165873208/O1CN013KV7livukEB1chua_!!4611686018427386424-0-item_pic.jpg,40585578946.jpg,铂马仕 家装节 POMOSER S精细黄麻护脊 面层可拆拒绝甲醛胶水 双重补贴拍下立减！ 惊喜红包限时抢！ 政府补贴 官方补贴 惊喜红包 88折消费券 立减15% 立减12% 不止9折至高减500元 详见支付页面 可叠加店铺券 88VIP可用 送 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 单品直降约 尺寸地区 37% 100天真正免费试睡
85,88,997397669549,政府补贴悠梦思S形黄麻全拆床垫1.8米1.5m儿童老人护脊硬宿舍薄垫,yarges悠梦思旗舰店,963.3,1,1,963.30,未透出,护脊偏硬支撑 | 环保椰棕/黄麻,平台/政府大额补贴 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=997397669549&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=997397669549,https://img.alicdn.com/bao/uploaded/i2/2215907225135/O1CN01Qy1Q2gSOZ2F2vH2e_!!4611686018427383343-0-item_pic.jpg,997397669549.jpg,YARGES悠梦思 全拆“S型”黄麻床垫 YARGES 88 活动下单即享 折 88消费券 （立即抢购无需凑单） 限时立享至高减150元 88VIP可用 数量有限详情咨询客服 天猫家装节 抢 政府补贴15% 因地区差异，补贴信息详情请见支付页面！ 官方立减12% 下单入会“抢 舒睡枕x2 现货下单顺丰速发 拒绝塌陷 限部分 尺寸地区 。免费送货到家 分期免息 盒365天免费仓储
86,89,704696475115,布莱轩尼10-15cm薄全拆床垫卧室偏硬黄麻席梦思矮弹簧家用榻榻米,布莱轩尼旗舰店,922.0,1,1,922.00,未透出,护脊偏硬支撑 | 环保椰棕/黄麻,平台/政府大额补贴 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=704696475115&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=704696475115,https://img.alicdn.com/bao/uploaded/i3/1104379506/O1CN01Z45jUrt2nqD1chua_!!4611686018427387506-0-item_pic.jpg,704696475115.jpg,布莱轩尼 天猫家装节 10-15cml 偏硬护脊 全拆薄弹簧床垫 家装节立减12% 政府补贴 立减15% 详情咨询客服 TMALL天猫 买贵退差价·售后无忧 家装节 官方立减12% 官方立减12%+政府补贴15%
87,90,1053690840174,悠梦思全拆S型黄麻床垫国家补贴乳胶1.8米儿童老人护脊10cm硬椰棕,yarges悠梦思旗舰店,871.51,1,1,871.51,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=1053690840174&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1053690840174,https://img.alicdn.com/bao/uploaded/i1/2215907225135/O1CN01gyCTPaiLrNG2vH2e_!!4611686018427383343-0-item_pic.jpg,1053690840174.jpg,YARGES悠梦思/舒脊 舒脊好梦 腰酸终结者 一张全家人可睡的床垫 Persiana Cine-no 下单入会 88 抢舒睡枕*2 88消费券 活动下单即享 折(立即抢购无需凑单) 送 限时立享至高减150元 政府 15% 惊喜红包 官方 12% 补贴 立减 88VIP可用 + + 补贴随时结束不补差价 官方补贴限时优惠不补差价 （下单立享优惠） *详情咨询客服* 天猫家装节 现货下单顺丰速发 咨询客服享惊喜 （限部分尺寸地区） 拒绝甲醛 免费送货到家10分期免息1盒365天免费仓储
88,91,676138544613,记忆棉薄款床垫凝胶慢回弹榻榻米床垫子软垫家用学生宿舍褥子海绵,睡眠骑士床垫企业店,811.0,1,1,811.00,未透出,零压记忆棉 | 亲肤透气面料,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?id=676138544613&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=676138544613,https://img.alicdn.com/bao/uploaded/i1/720743073/O1CN016Pf3TV1YZUESXvaYO_!!720743073.jpg,676138544613.jpg,SLEEP° 睡眠骑士 官方优选 KNIGHT 凝胶记忆棉薄款软垫 200天免费试睡 3-10cm 200天免费试睡 20年超长质保 透气薄垫 现货速发 顺丰送到家 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家
89,92,1056256518394,品味布帆薄款乳胶弹簧床垫记忆棉席梦思黄麻12cm15厘米厚软硬可选,品味布帆家居旗舰店,807.04,1,1,807.04,未透出,天然乳胶 | 独立袋装弹簧 | 环保椰棕/黄麻 | 零压记忆棉,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=1056256518394&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1056256518394,https://img.alicdn.com/bao/uploaded/i1/2222488681261/O1CN01BJBpa8v8fgL21stE_!!4611686018427386669-0-item_pic.jpg,1056256518394.jpg,品味布帆 ? 家装节 薄款独袋弹簧垫 12/15cm厚可选 双重补贴下单立减 品味布机 政府补贴 官方补贴 立减15% 立减12% + 详情咨询客服 详情咨询客服 到手价 120天免费试睡 88VIP专享消费券 738 20年超长质保 拒绝甲醛 塌陷包赔 100天保价 夫 3期花呗免息 免费仓储 送货入户无需安装 1.8×2米薄垫A款
90,93,922386927791,政府补贴悠梦思乳胶弹簧床垫席梦思精细S黄麻1.8米1.5m卧室租房厚,yarges悠梦思旗舰店,803.0,1,1,803.00,未透出,天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=922386927791&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=922386927791,https://img.alicdn.com/bao/uploaded/i4/2215907225135/O1CN01OXefH3OM9lE2vH2e_!!4611686018427383343-0-item_pic.jpg,922386927791.jpg,YARGES悠梦思 不贵但真的好 101天真正免费试睡 88 YARGES|悠梦思 折 活动下单即享 88消费券 （立即抢购无需凑单） 限时立享至高减150元 88VIP可用 数量有限详情咨询客服 天猫家装节 抢 政府补贴15% 因地区差异，补贴信息详情请见支付页面！ 官方立减12% 下单入会“抢 舒睡枕×2 现货下单顺丰速发 质保20年 限部分 尺寸地区 免费送货到家 分期免息 盒365天免费仓储
