排名,商品ID,商品标题,店铺,主图透出价格,核心材质与卖点,营销活动与服务,视觉版式风格,1.8米规格直达链接,标准商品链接,主图原图高清链接,本地主图文件名,生意参谋支付金额,支付件数,支付买家数,客单价,主图OCR完整文案
192,635575176530,儿童护脊无甲醛黄麻乳胶椰棕 1.2棕榈床垫硬垫1.35米定制折叠双面,佛山享睡床垫品牌店,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 双面双睡感/可拆洗,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=635575176530,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=635575176530,https://img.alicdn.com/bao/uploaded/i3/371421979/O1CN01UKM0ovBIAQH2vH2e_!!371421979.jpg,192_635575176530.jpg,0.00 0.00%,0 0.00%,0,0.00,WEIMLU 超级88 一维梦露一 护脊黄麻棕 强效撑腰 支持定制可全拆 免费试睡101天 下单立减 京东顺丰送到家 TIME:9/620:00-9/1323:59 12% 可叠加优惠满300减60 （详情咨询客服即可） 免费送货到家 先用后付 180天免费仓储 超长保价30天
193,637957683669,睡眠骑士15cm厚床垫高箱床薄垫席梦思乳胶榻榻米10公分椰棕硬垫子,睡眠骑士床垫企业店,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=637957683669,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=637957683669,https://img.alicdn.com/bao/uploaded/i1/720743073/O1CN01CFnTBa1YZUEU1qPL8_!!720743073.jpg,193_637957683669.jpg,0.00 0.00%,0 0.00%,0,0.00,SLEEP° 睡眠骑士 官方优选 KNIGHT 15CM独立弹簧床垫 厚度：10cm/12cm/15cm 10-15cm 200天免费试睡 |20年超长质保 经济适用 现货速发 顺丰送到家 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家
194,638409773842,乳胶床垫超软独立弹簧席梦思家用软垫五星酒店30cm加厚2.2米,棕葆王国品牌店,未透出,天然乳胶,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=638409773842,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=638409773842,https://img.alicdn.com/bao/uploaded/i3/251231227/O1CN01G6wGICgKL7G2vH2e_!!251231227.jpg,194_638409773842.jpg,0.00 0.00%,0 0.00%,0,0.00,超级立减 棕葆王国 超软五星睡眠 30cm超软一五星之选 此款含5cm乳胶超软加厚睡感 立减 活动优惠 10% 20-30cm厚柔软舒适 免费试睡 保 20年不塌陷 花呗3期免息 顺丰送货入户
195,644162229737,布莱轩尼全拆席梦思弹簧床垫酒店含乳胶记忆棉卧室偏软20cm厚家用,布莱轩尼旗舰店,未透出,天然乳胶 | 零压记忆棉,平台/政府大额补贴 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=644162229737,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=644162229737,https://img.alicdn.com/bao/uploaded/i3/1104379506/O1CN01zsVsaHVPq5F1chua_!!4611686018427387506-0-item_pic.jpg,195_644162229737.jpg,0.00 0.00%,0 0.00%,0,0.00,布莱轩尼 天猫家装节 20-24cm 全拆软硬可调 四叶形无胶工艺弹簧床垫 家装节立减12% 布莱轩尼 政府补贴 立减15% 详情咨询客服 TMALL天猫 买贵退差价·售后无忧 家装节 官方立减12% 官方立减12%+政府补贴15%
197,651781164154,月光之家中老年床垫家用黄麻棕垫硬独立弹簧护脊席梦思1.8米1.5m,moonlightfamily旗舰店,未透出,护脊偏硬支撑 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=651781164154,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=651781164154,https://img.alicdn.com/bao/uploaded/i1/919851856/O1CN01mNZkeGbpUUF32pKq_!!4611686018427384656-0-item_pic.jpg,197_651781164154.jpg,0.00 0.00%,0 0.00%,0,0.00,Moonlight family MOONLICHT 月光之家 家装节 FAMILY 中老年专用护脊床垫 偏硬护脊厚度14-23CM 优惠可叠加 政府补贴官方立减惊喜红包 88VIP 200天免费试睡 15% 12% 150 20年超长质保 3期免息 价保100天 免费取旧 顺丰 SF 0胶+5A双重认证 到家
198,652575058615,月光之家黄麻床垫家庭用独立弹簧加厚加硬双人卧室席梦思中老年用,moonlightfamily旗舰店,未透出,护脊偏硬支撑 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=652575058615,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=652575058615,https://img.alicdn.com/bao/uploaded/i4/919851856/O1CN01LrBVCIbxjyC32pKq_!!4611686018427384656-0-item_pic.jpg,198_652575058615.jpg,0.00 0.00%,0 0.00%,0,0.00,Moonlight family MOONLICHT 月光之家 家装节 FAMILY 加厚黄麻护腰床垫 偏硬护脊厚度21-25CM Moaonigh fomily 米 优惠可叠加 政府补贴官方立减惊喜红包 88VIP 200天免费试睡 15% 12% 150 20年超长质保 3期免息 价保100天 免费取旧 顺丰 SF 0胶+5A双重认证 到家
199,656332991247,儿童弹簧床垫专用席梦思无甲醛护脊垫青少年软硬两用椰棕垫可定制,佛山享睡床垫品牌店,未透出,护脊偏硬支撑 | 环保椰棕/黄麻 | 双面双睡感/可拆洗 | 亲肤透气面料,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=656332991247,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=656332991247,https://img.alicdn.com/bao/uploaded/i3/371421979/O1CN01bMBt1anUr5C2vH2e_!!371421979.jpg,199_656332991247.jpg,0.00 0.00%,0 0.00%,0,0.00,WEIMLU 超级88 一维梦露一 儿童专用三线 和弦弹簧 吸汗透气可面拆 免费试睡101天 下单立减 京东顺丰送到家 TIME:9/620:00-9/1323:59 12% 可叠加优惠满300减60 （详情咨询客服即可） 免费送货到家 先用后付 180天免费仓储 保超长保价30天
201,669274531222,儿童床垫全拆黄麻专用榻榻米3D空气纤维无甲醛青少年1.2米1.5m垫,佛山享睡床垫品牌店,未透出,环保椰棕/黄麻 | 双面双睡感/可拆洗,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=669274531222,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=669274531222,https://img.alicdn.com/bao/uploaded/i1/371421979/O1CN011JGkmyqrNrF2vH2e_!!371421979.jpg,201_669274531222.jpg,0.00 0.00%,0 0.00%,0,0.00,WEIMLU 超级88 一维梦露一 黄麻3E棕可选 拒绝塌陷 可双面睡可面拆 免费试睡101天 下单立减 京东顺丰送到家 TIME:9/620:00-9/1323:59 12 % 可叠加优惠满300减60 （详情咨询客服即可） 免费送货到家 先用后付 180天免费仓储 保超长保价30天
202,669738617140,天然S型精细环保黄麻儿童偏硬护脊榻榻米乳胶记忆棉床垫可拆洗,CEFALU旗舰店,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 零压记忆棉 | 双面双睡感/可拆洗 | 亲肤透气面料,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=669738617140,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=669738617140,https://img.alicdn.com/bao/uploaded/i4/1692273605/O1CN01PArzoXtHKCD2vH2e_!!4611686018427382725-0-item_pic.jpg,202_669738617140.jpg,0.00 0.00%,0 0.00%,0,0.00,® 超级立减 甄选 CEFALU 尖货 真材实料无惧对比 200天免费试睡 更细更纯 S型环保黄麻 15 再省% 可叠加店内任何优惠活动 政府补贴 Antibacterial 快递包邮 免费试睡200天 享政府补贴 预计下单直降 25% 优惠直降10%叠加使用 （环保透气软硬可选拒绝甲醛送货上门） 详情咨询客服
203,673206164922,天然S型环保黄麻儿童专用床垫护脊乳胶垫偏硬椰棕榻榻米垫,CEFALU旗舰店,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 亲肤透气面料,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=673206164922,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=673206164922,https://img.alicdn.com/bao/uploaded/i1/1692273605/O1CN01EPBEc5iv78D2vH2e_!!4611686018427382725-0-item_pic.jpg,203_673206164922.jpg,0.00 0.00%,0 0.00%,0,0.00,® 超级立减 甄选 CEFALU 尖货 儿童护脊黄麻床垫 200天免费试睡 15 再省% 可叠加店内任何优惠活动 政府补贴 快递包邮 免费试睡200天 享政府补贴 预计下单直降 25% 优惠直降10%叠加使用 （环保透气软硬可选拒绝甲醛送货上门） 详情咨询客服
204,673377643253,ROZO五星酒店独立弹簧床垫进口乳胶席梦思家用软垫1.8m床垫子儿童,rozo家具旗舰店,未透出,天然乳胶,平台/政府大额补贴 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=673377643253,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=673377643253,https://img.alicdn.com/bao/uploaded/i1/2939975400/O1CN01TnVS2UwhX7C2vH2e_!!4611686018427385576-2-item_pic.png,204_673377643253.jpg,0.00 0.00%,0 0.00%,0,0.00,ROZO° 秋季家装节 零胶水 星级睡感舒适升级 软硬适中 睡得轻松 实付满1500立减 150 夫 88VIP消费券 RONO 实付满480立减 60 夫 88VIP消费券 政府补贴 12% 至高立减约 官方 下单立减 15% 45 活动 5% 叠加使用优惠券 咨询客服
205,674874411395,月光之家儿童床垫家用黄麻护脊硬全棉面料上下铺1.5米1.2m可定制,moonlightfamily旗舰店,未透出,护脊偏硬支撑 | 环保椰棕/黄麻 | 双面双睡感/可拆洗,平台/政府大额补贴 | 免费试睡保障 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=674874411395,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=674874411395,https://img.alicdn.com/bao/uploaded/i2/919851856/O1CN015MQca8qv6tE32pKq_!!4611686018427384656-0-item_pic.jpg,205_674874411395.jpg,0.00 0.00%,0 0.00%,0,0.00,Moonlight family MOONLICHT 月光之家 家装节 FAMILY 儿童专用黄麻床垫 软硬双面厚度6-12CM EVALOC 优惠可叠加 政府补贴官方立减惊喜红包 88VIP 200天免费试睡 15% 12% 150 20年超长质保 3期免息 价保100天 免费取旧 顺丰 SF 0胶+5A双重认证 到家
206,674964478669,睡眠骑士S型精细黄麻床垫乳胶 榻榻米家用椰棕儿童垫护脊加硬棕榈,睡眠骑士床垫企业店,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=674964478669,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=674964478669,https://img.alicdn.com/bao/uploaded/i3/720743073/O1CN01Kndn7A1YZUEbv5bAb_!!720743073.jpg,206_674964478669.jpg,0.00 0.00%,0 0.00%,0,0.00,SLEEP 睡眠骑士 官方优选 KNIGHT 型护脊 200天免费试睡 可全拆设计|S型精细黄麻 88VIP 可叠加88VIP券 现货速发送到家 部分尺寸及地区详情咨询客服 5-12 总厚 政府补贴叠加省 35 省 CM % 天然黄麻 数量优先先到先得详情咨询客服 200天免费试睡 花呗分期免息 365天免费仓储 免费送货到家
207,676129767435,派乐熊独立袋弹簧床垫乳胶记忆棉席梦思软垫黄麻偏硬护脊双人家用,派乐熊儿童床垫品牌店,未透出,护脊偏硬支撑 | 天然乳胶 | 独立袋装弹簧 | 环保椰棕/黄麻 | 零压记忆棉,买赠高价值赠品,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=676129767435,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=676129767435,https://img.alicdn.com/bao/uploaded/i4/371424161/O1CN015h81DH1gbnB7a19LG_!!371424161.jpg,207_676129767435.jpg,0.00 0.00%,0 0.00%,0,0.00,派乐熊 2160颗加密独立袋弹簧 拒绝 赠送大件运费险 静音护脊弹簧床垫 甲醛
209,676927407863,铂马仕盒子床垫卷包乳胶弹簧软垫家用记忆棉1.8米酒店席梦思压缩,铂马仕旗舰店,￥500,天然乳胶 | 零压记忆棉,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=676927407863,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=676927407863,https://img.alicdn.com/bao/uploaded/i1/2165873208/O1CN01OxX9H3z5IrL1chua_!!4611686018427386424-0-item_pic.jpg,209_676927407863.jpg,0.00 0.00%,0 0.00%,0,0.00,"铂马仕 家装节 POMOSER 200天免费试睡 360度全拆 拒绝甲醛 Matt res, 双重补贴拍下立减！ 惊喜红包限时抢！ 政府补贴 官方补贴 惊喜红包 88折消费券 立减15% 立减12% 不止9折至高减500元 详见支付页面 可叠加店铺券 88VIP可用 送 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 单品直降约 尺寸地区 37% 下单入会享好礼 20 门槛"
210,679854060047,可全拆独立弹簧床垫记忆棉含乳胶黄麻家用偏软硬卧室席梦思22cm厚,布莱轩尼旗舰店,未透出,天然乳胶 | 环保椰棕/黄麻 | 零压记忆棉,平台/政府大额补贴 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=679854060047,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=679854060047,https://img.alicdn.com/bao/uploaded/i2/1104379506/O1CN01Ugm2rdQkRMG1chua_!!4611686018427387506-0-item_pic.jpg,210_679854060047.jpg,0.00 0.00%,0 0.00%,0,0.00,布莱轩尼 天猫家装节 22-24cm无胶床垫 全拆睡感可调 家装节立减12% 政府补贴 布莱轩尼 立减15% 详情咨询客服 TMALL天猫 买贵退差价·售后无忧 家装节 官方立减12% 官方立减12%+政府补贴15%
211,680161231199,moonlightfamily月光之家床垫 七夕礼遇季 0.01元抢10大特权定金,moonlightfamily旗舰店,未透出,基础常规款,官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=680161231199,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=680161231199,https://img.alicdn.com/bao/uploaded/i4/919851856/O1CN01SpKMnCThEFH1chua_!!4611686018427384656-0-item_pic.jpg,211_680161231199.jpg,0.00 0.00%,0 0.00%,0,0.00,×七夕礼遇季 0.01 元 抢10大特权 预定》即日起限量5000份抢完即止使用》具体以官方活动时间开启为准 限时预约抢完为止
212,680541369411,睡眠骑士15cm薄床垫双面20cm厚乳胶席梦思椰棕五星家用软垫记忆棉,睡眠骑士床垫企业店,未透出,天然乳胶 | 环保椰棕/黄麻 | 零压记忆棉 | 双面双睡感/可拆洗,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=680541369411,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=680541369411,https://img.alicdn.com/bao/uploaded/i3/720743073/O1CN01fqQgYU1YZUETEv3FV_!!720743073.jpg,212_680541369411.jpg,0.00 0.00%,0 0.00%,0,0.00,SLEEP° 睡眠骑士 官方优选 KNIGHT 五星级酒店床垫 厚度:20/22/24cm 15-24cm 200天免费试睡 |20年超长质保 酒店睡感 现货速发 顺丰送到家 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家
213,681329795203,睡眠骑士透气压缩盒子床垫记忆棉酒店独立弹簧席梦思家用空气纤维,睡眠骑士床垫企业店,未透出,零压记忆棉 | 亲肤透气面料,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=681329795203,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=681329795203,https://img.alicdn.com/bao/uploaded/i4/720743073/O1CN01SZRe4c1YZUESIGCVM_!!720743073.jpg,213_681329795203.jpg,0.00 0.00%,0 0.00%,0,0.00,SLEEP 睡眠骑士 官方优选 KNIGHT 清爽透气超舒适 天然环保可全拆 全拆 设计 23CM 200天免费试睡 20年超长质保 盒子透气 现货速发 顺丰送到家 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家
214,682210995554,ROZO盒子20cm厚床垫席梦思硬垫弹簧1.5m记忆棉软垫家用15厘米酒店,rozo家具旗舰店,未透出,护脊偏硬支撑 | 零压记忆棉,平台/政府大额补贴 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=682210995554,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=682210995554,https://img.alicdn.com/bao/uploaded/i3/2939975400/O1CN017sHfe5UMfzB2vH2e_!!4611686018427385576-2-item_pic.png,214_682210995554.jpg,0.00 0.00%,0 0.00%,0,0.00,ROZO°X J 秋季家装节 零胶水 软硬适中达人推荐 不满意 |退全款 实付满1500立减 150 夫 88VIP消费券 实付满480立减 60 ￥ 88VIP消费券 政府补贴 12% 至高立减约 官方 下单立减 15% 45% 活动 叠加使用优惠券 咨询客服
215,684037969223,软床垫加硬神器薄床垫老年人专用护脊椎天然黄麻硬椰棕榈垫榻榻米,派乐熊儿童床垫品牌店,未透出,护脊偏硬支撑 | 环保椰棕/黄麻,常规销售,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=684037969223,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=684037969223,https://img.alicdn.com/bao/uploaded/i1/371424161/O1CN01dDkhj81gbnB7LbcrK_!!371424161.jpg,215_684037969223.jpg,0.00 0.00%,0 0.00%,0,0.00,派乐熊×专注儿童健康睡眠 软床垫加硬专用 儿童 软床垫加硬神器 专用 拯救家里软床垫
217,684904425331,睡眠骑士记忆棉软垫席梦思床垫独立弹簧五星级酒店30cm厚软硬双面,睡眠骑士床垫企业店,未透出,零压记忆棉 | 双面双睡感/可拆洗,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=684904425331,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=684904425331,https://img.alicdn.com/bao/uploaded/i4/720743073/O1CN01pJ70fb1YZUET5PdoF_!!720743073.jpg,217_684904425331.jpg,0.00 0.00%,0 0.00%,0,0.00,"SLEEP"""" 睡眠骑士 官方优选 KNIGHT FIVE-STAR HOTEL MATTRESS 记忆棉酒店床垫 舒适睡眠5CM记忆棉 30CM 现货速发顺丰送到家 SF 加硬贴合 部分尺寸及地区详情咨询客服 200天免费试睡 花呗分期免息 365天免费仓储 免费送货到家"
218,686259984650,睡眠骑士天然乳胶床垫席梦思家用软垫学生宿舍单人橡胶薄床垫超软,睡眠骑士床垫企业店,未透出,天然乳胶 | 亲肤透气面料,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=686259984650,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=686259984650,https://img.alicdn.com/bao/uploaded/i4/720743073/O1CN012B5kgp1YZUGUn2Gv2_!!720743073.jpg,218_686259984650.jpg,0.00 0.00%,0 0.00%,0,0.00,SLEEP 睡眠骑士 官方优选 KNIGHT 93%乳胶薄款床垫 专为学生设计床垫 3-10CM 现货速发顺丰送到家 (SF 透气薄垫 部分尺寸及地区详情咨询客服 200天免费试睡 花呗分期免息 365天免费仓储 免费送货到家
219,691235260414,可全拆洗天然精细S型黄麻床垫含乳胶椰棕偏硬护脊儿童老人榻榻米,布莱轩尼旗舰店,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=691235260414,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=691235260414,https://img.alicdn.com/bao/uploaded/i2/1104379506/O1CN01WN6KXiJqZrC1chua_!!4611686018427387506-0-item_pic.jpg,219_691235260414.jpg,0.00 0.00%,0 0.00%,0,0.00,布莱轩尼 天猫家装节 10-15cm 全拆棉麻 S形黄麻偏硬护脊 家装节立减12% 政府补贴 立减15% 详情咨询客服 TMALL天猫 买贵退差价·售后无忧 家装节 官方立减12% 官方立减12%+政府补贴15%
220,694006012657,铂马仕慢回弹记忆棉薄床垫榻榻米软垫家用学生宿舍褥子海绵垫,铂马仕旗舰店,￥500,零压记忆棉,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=694006012657,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=694006012657,https://img.alicdn.com/bao/uploaded/i2/2165873208/O1CN013F17xnFoWlD1chua_!!4611686018427386424-0-item_pic.jpg,220_694006012657.jpg,0.00 0.00%,0 0.00%,0,0.00,铂马仕 家装节 POMOSER 双重补贴拍下立减！ 惊喜红包限时抢！ 政府补贴 官方补贴 惊喜红包 88折消费券 立减15% 立减12% 不止9折至高减500元 详见支付页面 可叠加店铺券 88VIP可用 送 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 单品直降约 尺寸地区 37% 100天真正免费试睡
221,694338165397,睡眠骑士盒子床垫压缩席梦思独立袋弹簧酒店软垫天然乳胶1.8m家用,sleepknight旗舰店,未透出,天然乳胶 | 独立袋装弹簧 | 智能调节深睡,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=694338165397,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=694338165397,https://img.alicdn.com/bao/uploaded/i3/2215132506139/O1CN01i8kf2W1vDib43aq0w_!!4611686018427381787-0-item_pic.jpg,221_694338165397.jpg,0.00 0.00%,0 0.00%,0,0.00,SLEEP. 睡眠骑士 官方优选 KNIGHT 智能床专用床垫 装进盒子里面的床垫 Sleep Knight 睡眠骑士星级品质 15/23CM 200天免费试睡 |20年超长质保 盒子床垫 现货速发顺丰送到家 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家
222,694595450814,睡眠骑士全拆全黄麻床垫S精细黄麻乳胶榻榻米偏硬上下铺椰棕儿童,sleepknight旗舰店,未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=694595450814,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=694595450814,https://img.alicdn.com/bao/uploaded/i3/2215132506139/O1CN01XUllxp1vDiY2T6J8x_!!4611686018427381787-0-item_pic.jpg,222_694595450814.jpg,0.00 0.00%,0 0.00%,0,0.00,SLEEP 睡眠骑士 KNIGHT 天然环保可全拆 [200天免费试睡 S型精细黄麻 5-15cm 200天免费试睡|20年超长质保 天然黄麻 现货速发顺丰送到家 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家
223,696309973219,布莱轩尼1.8m五星酒店超软床垫28cm厚席梦思家用独立袋弹簧含乳胶,布莱轩尼旗舰店,未透出,天然乳胶 | 独立袋装弹簧,平台/政府大额补贴 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=696309973219,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=696309973219,https://img.alicdn.com/bao/uploaded/i2/1104379506/O1CN01t9vf5tzqZUB1chua_!!4611686018427387506-0-item_pic.jpg,223_696309973219.jpg,0.00 0.00%,0 0.00%,0,0.00,布莱轩尼 天猫家装节 22-24cm 弹簧床垫 3cm-5cm超软乳胶 家装节立减12% 政府补贴 布莱轩尼 立减15% 详情咨询客服 TMALL天猫 买贵退差价·售后无忧 家装节 官方立减12% 官方立减12%+政府补贴15%
224,697000978646,睡眠骑士天然乳胶弹簧床垫席梦思五星酒店家用软硬双面床垫子超软,sleepknight旗舰店,未透出,天然乳胶 | 双面双睡感/可拆洗,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=697000978646,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=697000978646,https://img.alicdn.com/bao/uploaded/i4/2215132506139/O1CN01WcqHCl1vDiav5xafW_!!4611686018427381787-0-item_pic.jpg,224_697000978646.jpg,0.00 0.00%,0 0.00%,0,0.00,"SLEEP"""" 睡眠骑士 官方优选 KNIGHT 五星级酒店床垫 加厚乳胶|奢享睡感 30CM 200天免费试睡|20年超长质保 加厚超软 48小时顺丰速发 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家"
